,Nome do Buteco,Endereço,Latitude,Longitude,Unnamed: 4,Logradouro,Número,chave_endereco_buteco,match_endereco,Match,match_termo_manual,Comida de Boteco
80,Magrelo’s Bar,"Avenida Serrana, 635 | Serrano, Belo Horizonte - MG",-19.8728577,-44.0135935,,SERRANA,635,SERRANA_635,True,1,,1
81,Mamute Bar,"Rua Brás Cubas, 116 | Cruzeiro, Belo Horizonte - MG",-19.9443858,-43.9282398,,BRAS CUBAS,116,BRAS CUBAS_116,True,1,True,1
82,Marina’s Bar,"Rua José Baroni, 13 | Santa Efigênia, Belo Horizonte - MG",-19.9237726,-43.9067129,,JOSE BARONI,13,JOSE BARONI_13,True,1,,1
83,Mineiros Beer,"Rua Romualdo Lopes Cançado, 399 | Castelo, Belo Horizonte - MG",-19.8881972,-43.996875,,ROMUALDO LOPES CANCADO,399,ROMUALDO LOPES CANCADO_399,False,0,False,0
84,Mulão,"Rua Marambaia, 291 | Caiçara, Belo Horizonte - MG",-19.9090992,-43.9683517,,MARAMBAIA,291,MARAMBAIA_291,False,0,False,0
85,Nosso Spetim,"Rua dos Astecas, 3219 | Santa Mônica, Belo Horizonte - MG",-19.8299231,-43.9791637,,DOS ASTECAS,3219,DOS ASTECAS_3219,True,1,,1
86,O Fino do Alho,"Rua Capitão Sérgio Pires, 41 | Minascaixa, Belo Horizonte - MG",-19.8066128,-43.9563356,,CAPITAO SERGIO PIRES,41,CAPITAO SERGIO PIRES_41,False,0,False,1
87,Oratório Bar,"Avenida Brasil, 161 | Santa Efigênia, Belo Horizonte - MG",-19.925298,-43.9238081,,BRASIL,161,BRASIL_161,True,1,,1
88,Parada 10.95 Bar,"Avenida dos Engenheiros, 1095 | Alípio de Melo, Belo Horizonte - MG",-19.8902904,-44.0007213,,DOS ENGENHEIROS,1095,DOS ENGENHEIROS_1095,True,1,,1
89,Parada do Sabor,"Avenida General Carlos Guedes, 346 | Planalto, Belo Horizonte - MG",-19.8373712,-43.9480678,,GENERAL CARLOS GUEDES,346,GENERAL CARLOS GUEDES_346,False,0,False,1
90,Pé de Cana,"Rua Flórida, 15 | Sion, Belo Horizonte - MG",-19.9489897,-43.9322579,,FLORIDA,15,FLORIDA_15,True,1,,1
91,Pé de Goiaba,"Avenida Amazonas, 4676 | Nova Suíssa, Belo Horizonte - MG",-19.930377,-43.9812333,,AMAZONAS,4676,AMAZONAS_4676,True,1,,1
92,Planeta Lúpulo,"Avenida Guarapari, 108 | Santa Amélia, Belo Horizonte - MG",-19.8388542,-43.977372,,GUARAPARI,108,GUARAPARI_108,True,1,True,1
93,PoiZé Bar e Petisqueira,"Rua Pium-I, 686 | Cruzeiro, Belo Horizonte - MG",-19.9426434,-43.9299187,,PIUM-I,686,PIUM-I_686,True,1,True,1
94,Prado Beer,"Avenida Francisco Sá, 590 | Prado, Belo Horizonte - MG",-19.924344,-43.9592689,,FRANCISCO SA,590,FRANCISCO SA_590,True,1,,1
95,Prosa Boa,"Avenida Doutor Cristiano Guimarães, 1480 | Planalto, Belo Horizonte - MG",-19.8289924,-43.9519176,,DOUTOR CRISTIANO GUIMARAES,1480,DOUTOR CRISTIANO GUIMARAES_1480,True,1,,1
96,Quinteiro Bar e Restaurante,"Rua Salinas, 1008 | Floresta, Belo Horizonte - MG",-19.9132533,-43.9278446,,SALINAS,1008,SALINAS_1008,True,1,,1
97,Quioxque Botequim Carioca,"Rua Henrique Badaró Portugal, 157 | Buritis, Belo Horizonte - MG",-19.9744485,-43.9759493,,HENRIQUE BADARO PORTUGAL,157,HENRIQUE BADARO PORTUGAL_157,True,1,,1
98,Quitandas da Tia Nice Bar,"Rua Alabastro, 146 | Sagrada Família, Belo Horizonte – MG",-19.9092753,-43.9205585,,ALABASTRO,146,ALABASTRO_146,True,1,,1
99,Rancho do Manoel,"Rua Isabel Bueno, 1100 | Belo Horizonte - MG",Não encontrado,Não encontrado,,ISABEL BUENO,1100,ISABEL BUENO_1100,True,1,True,1
100,Recanto Vovó Tela,"Rua Tenente Marino Freire, 270 | Maria Helena, Belo Horizonte - MG",-19.801897,-43.9936776,,TENENTE MARINO FREIRE,270,TENENTE MARINO FREIRE_270,True,1,,1
101,Regis Bar,"Avenida Vinte e Oito de Setembro, 872 | Belo Horizonte - MG",Não encontrado,Não encontrado,,VINTE E OITO DE SETEMBRO,872,VINTE E OITO DE SETEMBRO_872,True,1,,1
102,Rei do Peixe,"Rua Ramalho Ortigão, 735 | Santa Branca, Belo Horizonte - MG",-19.8307182,-43.9654983,,RAMALHO ORTIGAO,735,RAMALHO ORTIGAO_735,False,0,False,1
103,Resenha da Naty,"Rua Gonçalves Ledo, 288 | Cachoeirinha, Belo Horizonte - MG",-19.8930163,-43.9460919,,GONCALVES LEDO,288,GONCALVES LEDO_288,True,1,,1
104,Restaurante Jorge Americano,"Avenida Augusto de Lima, 744 | Centro, Belo Horizonte - MG",-19.9225815,-43.9430243,,AUGUSTO DE LIMA,744,AUGUSTO DE LIMA_744,True,1,,1
105,S.O.S PUB,"Rua Padre José Maurício, 1126 | Vista Alegre, Belo Horizonte - MG",-19.9520894,-43.9926409,,PADRE JOSE MAURICIO,1126,PADRE JOSE MAURICIO_1126,False,0,False,0
106,Santa Boemia,"Rua Mármore, 534 | Santa Tereza, Belo Horizonte - MG",-19.9162948,-43.9182816,,MARMORE,534,MARMORE_534,True,1,,1
107,Santuário Retrô,"Avenida Padre Vieira, 150 | Minas Brasil, Belo Horizonte - MG",-19.9160217,-43.9899947,,PADRE VIEIRA,150,PADRE VIEIRA_150,True,1,,1
108,Seu Braz,"Avenida Portugal, 4325 | Itapoã, Belo Horizonte - MG",-19.8428176,-43.9613545,,PORTUGAL,4325,PORTUGAL_4325,True,1,,1
109,Silvio’s Bar,"Rua Begônia, 199 | Esplanada, Belo Horizonte - MG",-19.9024451,-43.9055043,,BEGONIA,199,BEGONIA_199,True,1,,1
110,Sinhá Erozitha Bistrôteco,"Rua Santo Amaro, 257 | Sagrada Família, Belo Horizonte - MG",-19.9011834,-43.9166512,,SANTO AMARO,257,SANTO AMARO_257,True,1,,1
111,Sô Bar,"Avenida Altamiro Avelino Soares, 426 | Castelo, Belo Horizonte - MG",-19.8801555,-44.0024485,,ALTAMIRO AVELINO SOARES,426,ALTAMIRO AVELINO SOARES_426,True,1,,1
112,Spetim,"Rua Ilacir Pereira Lima, 518 | Silveira, Belo Horizonte - MG",-19.8918598,-43.929371,,ILACIR PEREIRA LIMA,518,ILACIR PEREIRA LIMA_518,True,1,,1
113,Tanganica Art Bar,"Rua Padre Demerval Gomes, 380 | Coração Eucarístico, Belo Horizonte - MG",-19.9267672,-43.9901954,,PADRE DEMERVAL GOMES,380,PADRE DEMERVAL GOMES_380,True,1,,1
114,The Butcher,"Avenida Ressaca, 353 | Coração Eucarístico, Belo Horizonte - MG",-19.921143,-43.9860821,,RESSACA,353,RESSACA_353,False,0,False,0
115,Toca do Ogro,"Rua Professor Nelson de Sena, 4 | Pampulha, Belo Horizonte - MG",-19.8543191,-43.9568613,,PROFESSOR NELSON DE SENA,4,PROFESSOR NELSON DE SENA_4,True,1,,1
116,Toninho – Alto Forno,"Rua Miracema, 100 | Santo André, Belo Horizonte - MG",-19.8999841,-43.9522977,,MIRACEMA,100,MIRACEMA_100,True,1,,1
117,Tropeiro do Lisboa,"Avenida Leontino Francisco Alves, 506 | Serra Verde (Venda Nova), Belo Horizonte - MG",-19.8002642,-43.9587072,,LEONTINO FRANCISCO ALVES,506,LEONTINO FRANCISCO ALVES_506,False,0,False,0
118,Us Motoca,"Rua Blenda, 91 | Camargos, Belo Horizonte - MG",-19.9407705,-44.0148074,,BLENDA,91,BLENDA_91,True,1,,1
119,Xambar,"Avenida Augusto de Lima, 233 | Centro, Belo Horizonte - MG",-19.9247161,-43.9375956,,AUGUSTO DE LIMA,233,AUGUSTO DE LIMA_233,True,1,,1
120,Xico da Kafua,"Avenida Itaú, 1195 - João Pinheiro, Belo Horizonte - MG",-19.9230363,-44.0034156,,ITAU,1195,ITAU_1195,False,0,False,1
121,Xico do Churrasco,"Av Altamiro Avelino Soares, 920 - Castelo - Belo Horizonte - MG",-19.8801555,-44.0024485,,ALTAMIRO AVELINO SOARES,920,ALTAMIRO AVELINO SOARES_920,True,1,,1
122,Zé Bolacha,"Rua das Melancias, 35 | Vila Cloris, Belo Horizonte - MG",-19.8211973,-43.9515485,,DAS MELANCIAS,35,DAS MELANCIAS_35,True,1,,1
123,Zoo Bar,"Avenida Otacílio Negrão de Lima, 7844 | Pampulha, Belo Horizonte - MG",-19.854589,-44.0040585,,OTACILIO NEGRAO DE LIMA,7844,OTACILIO NEGRAO DE LIMA_7844,True,1,,1
